Worker ID,UPDATE-Study 1 Already Completed My Survey
AIZTLQM7HHQN6   ,1
A1PUHCEBSOWETV  ,1
A183WYXN12P2TJ  ,1
A15600V2C2TK1Y  ,1
A1PLB1NZOE2PQ7  ,1
A2WYCY1FMQOD5F  ,1
A5NE8TWS8ZV7B   ,1
A2T11H7YI7QPGD  ,1
AAQREZOK13OV7   ,1
A2YGAEODJ5SSF6  ,1
A2KR0B9H93THZS  ,1
A21ZMR7O42OSMI  ,1
A352LR682WGZPH  ,1
A1V2H0UF94ATWY  ,1
A1MDOWPQ04PFYB  ,1
A3CWW9DIL73I14  ,1
A2YKW761AK4ZGY  ,1
A1QRGVE005067Q  ,1
A2W355OIAMEPCY  ,1
A2B5HZBQ6C3J3L  ,1
A1L3937MY09J3I  ,1
A2VYCM4KFXFK6N  ,1
A3U21PUMQ6NGT2  ,1
A2R8IV2PWFTY00  ,1
A1HRUOWTIK5HYY  ,1
A2S7SSIEZG0X51  ,1
AK3H5QRAROFGP   ,1
A2QALQYNB7URBO  ,1
A9X4ULSLTGPTH   ,1
A2RERBGRTEWXK4  ,1
A1DPSC5CV2W7GU  ,1
AKZVMP0B5QHDC   ,1
A8VFIXE5FL8C6   ,1
A27EIUC6R63WY7  ,1
A3RQ7NZ1YH2KV3  ,1
A1HBEBH7ECHNIS  ,1
A3F51C49T9A34D  ,1
A3CWEIEY3TGJFX  ,1
A35IJZ023KD5PQ  ,1
A3U0VQ420HIMQ0  ,1
A2ESE3IBTNAEB7  ,1
A2YXAKEX4FJ0SV  ,1
A2CF2BD4Q0ZDJN  ,1
A11AFUVZPHUCB9  ,1
A30MP4LXV4MIFD  ,1
A2VBSFSJXLZZ7A  ,1
A1ZN6V0PU8VVAH  ,1
A2JP9IKRHNLRPI  ,1
A18O3DEA5Z4MJD  ,1
A3AVPUZLM5CP4Y  ,1
A1TGV7LT6LTIQU  ,1
A2ALA9DP7EYFAP  ,1
A35QENJBUHKQLR  ,1
AQ9Y6WD8O72ZC   ,1
AJ2Q569UUZUN2   ,1
A17WS5TP6OPH7R  ,1
A1WZBK5PRHBW3H  ,1
AA4O2W236E3FW  ,1
A3I9743KVD971V  ,1
A1GZAHNN3T1AOJ,1
"A2CF2BD4Q0ZDJN","1"
"A5NE8TWS8ZV7B","1"
"A8VFIXE5FL8C6","1"
"A3RYI5HXC2MJLN","1"
"A002160837SWJFPIAI7L7","1"
"A1561P9VVA3C1C","1"
"A2UOSEPGNUITM8","1"
"A2N9AKAOR17XB3","1"
"A1VFRCYMWGWWCZ","1"
"AYSDY2V7O55RM","1"
"A33QL701J8JMN1","1"
"AAIQLE701DI9U","1"
"AIZTLQM7HHQN6","1"
"A3HRGONKKN3SJF","1"
"A1HKYY6XI2OHO1","1"
"A34UER5ZQ5APMB","1"
"A1ZN6V0PU8VVAH","1"
"A3MFK5UEUG95M3","1"
"A191V7PT3DQKDP","1"
"A1PUHCEBSOWETV","1"
